,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
13,13,13,13,8,9,7,10,0.380584611014784,1,5,6,12,0.5618737265893741,3,9,1,13,0.5372605254503567,3,14,16,6,-1.1438924118937028,7,10,16,11,0.3030666197477673,13,14,15,16,-0.7033567964623963,10,13,14,9,-1.0331561641674072,7,15,16,14,-0.6352016921384902,1,7,13,14,0.4867654310830815,1,14,15,16,-0.8016873606123529,15,10,1,16,0.06028540986180286
14,14,14,14,12,16,7,15,-0.3729768172454759,7,10,9,14,-0.9271779272960724,1,7,9,2,0.556183730900246,9,14,15,16,-2.5159223883845443,7,10,14,15,0.253562525046378,10,14,15,13,0.2109146259112383,1,9,14,15,-0.5790339931644048,14,15,10,1,0.1409293054735465,1,14,15,16,-0.8009590044342239,1,9,16,7,-0.5208897671540313,15,10,1,16,0.06077388686491336
15,15,15,15,13,16,12,6,-0.7180511560791998,7,11,15,4,0.8145617648812944,1,10,14,8,0.2381134642439473,3,9,15,16,-0.8588179781489365,1,16,8,3,0.4550270693640469,1,16,7,11,0.5716990467502742,7,15,14,8,0.6303415021126004,3,13,14,15,0.4313001169900079,1,9,10,15,0.2157552998353619,1,10,13,14,0.1704375219898654,15,10,1,16,0.07068671998930931
16,16,16,16,3,11,7,15,0.9159115332759558,8,13,14,9,-0.3841135644064684,10,7,12,3,0.3720926252091153,14,3,15,2,0.3884178892446965,1,12,14,11,-0.222945880912575,3,10,15,6,0.4874361007772707,1,7,10,16,0.1634586715594315,1,7,10,15,0.8766023564513813,1,15,14,9,-0.579686762646163,13,14,15,16,-0.7035417826052868,15,10,1,16,0.060330996207736076
17,17,17,17,5,4,2,16,0.032442490896885,9,14,2,11,-0.347886544287882,16,13,3,15,0.3609617101874459,3,7,12,16,-0.4066504145358567,3,13,7,10,0.8701812188245159,1,7,14,16,-0.6390501722840989,14,9,7,16,-2.2698614482050554,1,9,10,14,-1.0762055839803142,10,14,4,7,-0.3962682751393132,1,7,15,16,0.4827080478987055,15,10,1,16,0.05903201770588162
18,18,18,18,1,9,12,16,-2.080852650808465,1,3,9,15,0.3597419930549634,8,9,14,10,-0.9031733075377382,2,7,13,14,0.4961398537399168,10,14,15,5,0.3005817195576418,1,14,5,15,0.5732355752738221,10,14,15,1,0.1395836561866917,7,15,16,9,-0.5226907159310523,1,10,13,7,0.8024517204081416,10,15,16,14,-1.3406780099676596,15,10,1,16,0.059377193781275706
19,19,19,19,13,14,16,11,-0.5251420307156858,14,10,7,5,0.3782856675574075,3,9,7,10,0.2916889438722734,7,10,15,16,0.1916901826086225,10,13,14,7,0.2107617250647349,3,7,14,15,0.4460725428123586,1,9,14,15,-0.5650114989882091,7,9,16,12,-1.876968935729832,13,15,16,1,0.4644937743882876,1,9,10,14,-1.0617614173758745,15,10,1,16,0.07062273137638453
20,20,20,20,7,11,14,8,0.6618882020190464,14,15,11,10,0.3100051358179303,3,7,10,14,0.2375165258091733,7,10,14,6,-0.0003477227711692,15,9,14,5,-0.3510125563935062,7,10,14,9,-0.9143405532695672,3,7,10,11,0.9220823540613596,1,3,14,7,0.5323123829152826,13,14,7,15,0.5652500774195155,7,13,14,15,0.5652500774195155,15,10,1,16,0.0719494256208364
21,21,21,21,1,3,10,11,0.8878731088760624,3,16,1,12,-0.5490734206609267,14,9,15,16,-2.499687365519739,14,15,11,7,0.6534934381133869,9,15,14,13,-0.4871043448561245,7,10,9,13,0.2740767037511276,15,14,5,4,0.1353519106068769,5,10,11,14,0.4335363193036295,15,16,7,9,-0.5107080511758506,7,8,9,10,0.3824623862005376,15,10,1,16,0.06851689656853355
22,22,22,22,1,9,15,14,-0.5677083113616908,3,11,4,16,0.0366310233158495,7,10,11,14,0.3652453655181323,15,16,14,6,-1.0911754221662069,3,14,16,7,-0.6543539039620176,1,15,9,16,-0.6722750899211891,1,7,10,14,0.232136185745316,1,10,15,7,0.8794417536322895,1,10,15,9,0.2138494283204255,7,9,15,10,0.3219914645407806,15,10,1,16,0.06861191069553552
23,23,23,23,3,13,11,5,0.989468416287788,3,5,14,15,0.4396576174560092,10,13,14,7,0.1994348733369336,10,15,7,11,0.9252545954226888,1,15,16,3,0.2357184421501461,1,9,13,15,0.5602279718450928,1,10,16,3,0.0311582768268148,7,10,13,15,0.8772703532710774,4,7,9,10,-0.3275351058335995,1,8,9,13,0.5827772355811667,15,10,1,16,0.05427038642361304
24,24,24,24,7,12,10,5,0.4989710768655806,13,14,15,6,0.2690586689508871,1,9,14,12,-1.968092104878281,3,9,15,8,0.4630227559985558,7,9,13,15,0.6029338944071454,1,7,10,12,0.365516524913494,10,14,16,9,-3.230798526494323,1,7,14,10,0.2221486272519859,7,9,10,13,0.2650197803303719,16,13,14,1,-0.7387243776474202,15,10,1,16,0.0529863141557847
25,25,25,25,2,9,15,14,-0.516192232070567,1,4,10,15,0.4329462656831141,9,10,14,1,-1.0842005132623247,1,15,7,3,0.8891490003099243,1,3,9,6,0.2484732091944852,7,10,14,11,0.3577734174793294,10,7,15,11,0.92493728910135,7,14,15,11,0.6440882803442978,10,13,16,14,-1.2637278778497576,1,13,10,16,0.10237727155053,15,10,1,16,0.052850195238967834
26,26,26,26,3,5,16,12,-0.3573744356624371,7,15,12,8,0.7283510091873864,1,6,14,15,0.2324728729371683,1,7,10,13,0.8017904169986807,1,3,14,7,0.5188113392454512,1,7,9,14,-0.4422163917822215,7,9,13,15,0.6043566386721168,10,13,14,15,0.2047956389118436,7,10,15,16,0.1765552309968125,3,14,16,10,-1.3861412787479068,15,10,1,16,0.05414861572620344
27,27,27,27,1,4,6,9,-0.3048068443601213,5,12,15,14,-0.2333821737629078,1,5,9,15,0.6173107932520809,16,15,14,9,-2.5327665803759607,3,7,10,16,0.1528687014334784,7,10,16,13,0.1506308921612997,10,14,15,12,-0.9347231770444644,7,9,10,16,-1.035562253129836,13,15,16,3,0.3549648114069692,13,15,16,1,0.4507638041415521,15,10,1,16,0.052032123417446785
28,28,28,28,4,6,8,10,0.3195449429986023,7,10,14,15,0.2555203528470754,13,14,2,8,0.4682753338011773,1,9,10,16,-1.17878680573002,10,13,14,16,-1.2536966453196725,7,10,15,3,0.8010533706801104,3,10,16,11,0.2075876689874345,1,10,14,15,0.1433916202943246,7,13,14,12,-0.3193094325267545,1,10,11,15,0.8963642209797485,15,10,1,16,0.0628969790679097
29,29,29,29,7,14,15,4,0.0559671314754347,4,6,7,16,-0.3469959159822831,3,4,11,13,0.8022950799268074,1,7,14,8,0.5728644975558246,9,13,15,16,-0.5944398335513068,7,9,14,15,-0.4361030727450128,7,10,14,13,0.1978485370765228,1,16,13,7,0.4416289367314102,7,14,15,16,-0.644830037657772,9,10,15,16,-1.2200897807559312,15,10,1,16,0.052932536639777816
30,30,30,30,3,5,10,16,0.1996383613312744,14,10,15,1,0.1359999478713469,7,15,16,11,0.5904671984006913,3,9,14,8,-0.4647150484956259,10,14,15,8,0.254019107316894,7,15,10,12,0.3954343264027973,1,7,14,9,-0.4418244502237463,9,15,7,1,0.5916566865315209,7,15,4,14,0.0589023626228526,10,14,16,15,-1.3465845847225886,15,10,1,16,0.05555777163893216
31,31,31,31,1,9,4,11,0.1684159502055306,3,4,6,12,-0.284762038065337,9,16,14,15,-2.527192355321755,1,7,9,14,-0.4427039605870453,10,14,15,16,-1.347857098701481,1,7,3,13,0.9535326207159048,7,14,3,9,-0.4772662889244978,7,15,16,9,-0.5283440620454694,11,15,16,14,-0.585877090658661,7,9,10,13,0.2659355084106186,15,10,1,16,0.0547348246019721
32,32,32,32,10,15,9,1,0.202155792777982,4,7,9,14,-1.1823659226008103,1,9,10,15,0.202155792777982,1,7,12,15,0.6585953831200574,1,14,7,15,0.5424380816997048,9,14,13,7,-0.4570644521421809,10,12,7,15,0.3963973416946335,14,15,16,7,-0.639566648661527,7,14,15,16,-0.639566648661527,7,10,15,13,0.878578538466622,15,10,1,16,0.05662001848946163
33,33,33,33,10,15,5,4,0.5727930596953188,1,5,15,4,0.7725398364868694,10,13,15,12,0.3722460561619596,1,14,7,16,-0.6314393301079713,1,3,7,10,0.868852690835413,1,13,14,15,0.5167087496792265,7,9,14,16,-2.2562344294559558,7,9,10,14,-0.92021977049666,1,7,9,14,-0.4289082942643205,1,9,10,16,-1.1710707569532368,15,10,1,16,0.06807576986799158
34,34,34,34,1,4,5,11,0.8126406384008975,1,2,16,8,0.3439991306306582,3,10,7,16,0.1502875362180247,1,7,10,16,0.1545634084121392,15,9,7,11,0.6871036743025869,10,14,16,12,-2.9833055285898005,1,7,9,15,0.5874064862697517,10,15,1,13,0.8685128040376009,7,9,15,16,-0.5353328083643782,1,10,13,14,0.1549138386352633,15,10,1,16,0.04967938023804719
35,35,35,35,2,6,14,15,0.3598460344370499,3,2,15,12,0.5142508429862154,13,14,15,16,-0.7165108947025622,7,14,15,3,0.4259112095989482,1,7,10,12,0.3636614977821844,1,13,8,15,0.9779418351786924,1,14,15,10,0.130953633331233,10,14,15,16,-1.3548154586562733,7,9,10,11,0.4137403839620668,1,7,13,15,0.9560998871160868,15,10,1,16,0.05063228029072553
36,36,36,36,2,6,13,14,0.392178315215731,10,15,16,13,0.1518447654295673,3,16,6,7,0.2497108548645333,3,4,7,13,0.7514911718115436,10,7,14,3,0.2309004394237868,4,7,12,13,0.1707768027472636,1,10,14,7,0.2298976361588078,9,14,15,1,-0.5788001521297903,1,14,15,7,0.5484297959682713,1,9,13,15,0.5685969337968161,15,10,1,16,0.06532227835085636
37,37,37,37,3,4,8,9,0.1068226001765106,3,7,10,11,0.9162599428404612,12,13,16,4,-1.2053929971779662,1,16,11,4,0.0382170251717763,4,7,9,10,-0.3286600830755282,3,9,15,16,-0.8902733478740699,10,15,16,1,0.0524897449980463,1,7,14,15,0.5393314781428743,1,10,16,15,0.0524897449980463,1,7,9,15,0.5893636546451282,15,10,1,16,0.05248974499804637
38,38,38,38,7,8,9,15,0.6694032714839551,5,8,12,1,0.6973515696325573,3,9,11,13,0.6348755509242239,9,10,1,14,-1.0829556417524873,12,14,10,7,-0.7800677466719161,1,7,10,13,0.8014091916741886,13,1,10,11,0.8630466600773379,14,15,10,3,-0.012694275695072,1,9,10,7,0.2868882292676324,1,7,10,14,0.2232979647737045,15,10,1,16,0.05440389606812379
39,39,39,39,1,2,16,7,0.4303858732359894,1,5,7,13,0.8893662812113557,1,12,13,15,0.6372131085015156,13,14,7,9,-0.4512109015189602,3,16,7,13,0.498763510438173,1,6,10,13,0.6674586671618392,10,15,13,7,0.8805227918879142,10,1,7,13,0.8005868163523051,7,10,15,9,0.3180414867495277,1,3,9,13,0.541112680887833,15,10,1,16,0.06411839245656614
40,40,40,40,5,6,7,9,0.5321944004092838,7,9,14,16,-2.283013605758735,7,14,1,16,-0.64802133255187,7,10,12,13,0.3413903400031296,1,13,15,16,0.4502250189174122,9,14,16,1,-2.4828565880680844,1,10,9,13,0.2262533256076918,7,10,14,15,0.2450870193588779,1,7,9,13,0.5370721630795294,7,10,15,9,0.3066115305277698,15,10,1,16,0.051551742032469705
41,41,41,41,3,11,14,6,0.3441731178932753,3,13,14,16,-0.7509965719505425,15,6,13,3,0.7208096236366753,7,15,5,1,0.983231631239362,6,10,11,13,0.7258849243342153,14,15,5,7,0.6492618259505422,9,10,14,15,-1.11086670988042,1,7,10,11,0.8844102230069576,1,7,10,13,0.7998902240415519,16,1,14,9,-2.487460536996152,15,10,1,16,0.04934499640644374
42,42,42,42,7,11,16,15,0.592670343832238,3,15,8,6,0.7843552162691068,10,12,14,16,-2.966083410848051,7,10,1,14,0.2245087067492076,7,10,14,15,0.2521103448214404,9,14,15,1,-0.5800853120082483,1,7,9,10,0.2882621067681004,10,13,1,14,0.1610100351223984,1,14,16,3,-0.8343645013883825,1,15,7,16,0.4827770212546666,15,10,1,16,0.05938947912333992
43,43,43,43,1,16,10,13,0.1048255084243247,5,3,12,9,-0.1870663036662352,9,15,14,4,-1.3472943626358207,3,10,11,14,0.2718425111420409,7,12,4,16,-1.114331699261577,9,1,14,11,-0.3598795408813564,1,7,9,10,0.289102041624903,1,14,16,9,-2.470646265698847,9,7,1,15,0.5941380639000966,1,10,13,11,0.8625266891782845,15,10,1,16,0.059009408213425374
44,44,44,44,3,9,14,8,-0.4778092619208618,7,1,13,15,0.9554161250714568,1,3,10,16,0.0211914281114157,7,10,14,15,0.2384836212879768,7,10,16,12,-0.8843740264745725,1,6,9,10,-0.0365295474278339,1,7,9,13,0.5327764905780034,13,15,16,9,-0.6056728321409572,7,10,13,15,0.874262791133515,1,10,14,16,-1.3348801090532154,15,10,1,16,0.04464888675796441
45,45,45,45,9,11,8,12,-0.039597408516298,2,14,3,7,0.5500230972239422,7,8,9,14,-0.3119508450073256,1,13,15,16,0.4472358119210022,3,5,14,15,0.4336315833875844,7,15,11,14,0.6408535901670707,14,12,16,1,-2.2564504762482542,7,10,15,16,0.1704183368767553,1,9,16,10,-1.197699494671491,10,14,16,15,-1.3593189239566357,15,10,1,16,0.04771100740749301
46,46,46,46,1,10,14,12,-0.908588387135426,3,10,14,11,0.2747166622454164,1,15,7,3,0.8941259169759155,1,7,16,15,0.4849573402382562,7,10,15,14,0.2551232468455104,9,13,16,8,-0.4638587546533461,7,16,10,11,0.3036680346411198,10,15,1,9,0.2075394174623031,1,7,9,14,-0.4341010480533469,9,10,14,13,-1.0297411216834167,15,10,1,16,0.06208822209423892
47,47,47,47,9,11,15,2,0.6348392397131055,9,8,1,14,-0.4243282801445691,3,5,7,1,0.9812073491788356,1,9,10,13,0.234272275340166,7,9,14,15,-0.4230859942411098,14,1,7,16,-0.6363733644559417,7,9,11,14,-0.2497032133949601,9,14,15,16,-2.5111756707704496,7,14,15,16,-0.6315471494335096,13,15,16,12,-0.4291151216014552,15,10,1,16,0.06259975165696674
48,48,48,48,4,7,10,11,0.5767439214012168,5,7,9,15,0.702146694485344,7,13,9,1,0.5414783654247728,7,10,1,16,0.1636365733485436,1,3,14,15,0.3192156085224311,7,11,14,13,0.5663686405353887,1,10,15,16,0.06274576288816,9,7,3,15,0.4820643259102508,1,9,13,16,-0.6071773799474178,9,10,16,12,-2.7893585438925568,15,10,1,16,0.06274576288816003
49,49,49,49,6,9,11,8,0.5959296855559049,10,13,3,4,0.4868661837409452,7,8,11,15,0.9692479553198896,12,15,16,8,-0.3901031309249809,1,3,7,14,0.5129589419496221,1,7,12,9,-0.2301409744496845,14,9,10,13,-1.0523703166745737,7,9,14,15,-0.4445371361936023,1,13,14,16,-0.7469845074438437,7,9,10,13,0.2598128428676736,15,10,1,16,0.046535808814048174
50,50,50,50,1,2,15,11,0.9338212338291956,14,15,1,7,0.5365022713142191,3,8,9,12,-0.2463377366639372,7,13,16,1,0.4403013748539874,7,16,14,9,-2.288931489496998,7,9,10,15,0.3037556659831453,1,16,14,15,-0.8178329592623861,14,15,16,10,-1.358066798953538,9,16,1,15,-0.6998184490524997,1,7,10,13,0.7998351230544055,15,10,1,16,0.048586032182879824
51,51,51,51,3,12,9,15,-0.5451137822986452,11,16,7,2,0.5242450880217886,7,14,15,4,0.0488427568131142,1,3,6,14,0.1938929557253323,12,14,3,9,-2.0783691839018013,1,13,14,15,0.4995081691063889,1,10,16,7,0.1519557811809536,1,5,13,15,0.9915485053144556,7,15,13,14,0.5467514107788523,14,16,15,8,-0.6547221538484975,15,10,1,16,0.04600297101230144
52,52,52,52,1,10,8,15,0.859755516287868,1,7,11,15,0.9807039710568451,7,16,5,14,-0.4488003403444038,3,7,14,15,0.4211747671328515,1,7,9,14,-0.4539685397027933,1,3,7,14,0.511695460262486,5,10,1,14,0.2852713410185378,1,7,9,10,0.279011949492276,1,7,9,10,0.279011949492276,10,13,14,15,0.1950771294191595,15,10,1,16,0.04492914412834237
53,53,53,53,5,12,13,16,-0.2785032642083074,5,7,9,13,0.6338961724617314,9,15,7,10,0.3021103558699043,1,7,13,16,0.4394699703879559,1,3,9,10,0.1562612493837532,10,14,15,16,-1.3609903008806583,1,10,14,15,0.1271490356846117,9,16,1,14,-2.4919082106298758,9,14,15,16,-2.5437568582909496,9,11,14,15,-0.3859597681470526,15,10,1,16,0.04676678584736005
54,54,54,54,3,5,6,9,0.4226304628892189,11,13,3,10,0.9144589420378366,7,13,8,5,0.8478102155768983,12,15,16,3,-0.7015586756669798,7,10,1,15,0.8768034911596669,10,12,13,15,0.3656390556038551,1,7,9,10,0.2897183637086254,1,7,10,13,0.8002933198147227,7,15,16,13,0.512301884612156,9,13,14,15,-0.496978215590715,15,10,1,16,0.06095793245374537
55,55,55,55,7,14,15,10,0.2436586678371092,7,14,10,3,0.2161373249670085,7,14,15,16,-0.6484116916816951,1,7,13,2,0.8466803287000997,7,9,15,16,-0.5345457973853458,14,4,15,7,0.0532848810238189,9,10,1,14,-1.08921531177054,9,14,15,13,-0.5116887402088506,1,14,15,16,-0.8156198362302391,7,10,13,15,0.8762153708885725,15,10,1,16,0.05013016355207345
56,56,56,56,14,11,8,7,0.6570561701634103,16,9,14,8,-2.265090604017589,7,11,14,5,0.7022649420628168,7,11,10,6,0.7532279348649735,9,14,10,6,-1.414967246328549,1,9,14,15,-0.5926265557063752,1,7,10,16,0.1551324345003361,7,15,9,13,0.6015274599262734,13,15,9,14,-0.5112708028800905,1,10,11,14,0.2860145523528894,15,10,1,16,0.05035144435600181
57,57,57,57,3,9,7,10,0.2701619652130186,3,14,4,6,-0.4605176142221396,7,9,10,14,-0.9463036712036814,9,14,13,1,-0.5451220535261723,1,7,9,14,-0.4504769661284489,1,7,9,15,0.5863950428901915,14,10,13,15,0.1984361762592412,1,7,14,11,0.6118325134336992,1,7,15,16,0.4746992198314279,11,14,15,16,-0.5946811351796695,15,10,1,16,0.04802236758245837
58,58,58,58,13,15,1,11,0.983644117620044,6,11,8,12,0.6545506048773981,10,14,15,16,-1.359925342645349,1,14,7,9,-0.451159849191096,10,14,16,8,-1.1560274420853824,3,7,14,15,0.4237991665989802,14,1,13,2,0.4615285612301388,1,15,16,10,0.0474054740426188,9,13,15,7,0.5993269785843045,1,9,11,13,0.6085794586516057,15,10,1,16,0.047405474042618856
59,59,59,59,16,13,3,5,0.5534011412477718,14,1,7,11,0.6119954560327273,8,10,14,16,-1.1548701974631026,7,10,13,16,0.1457480251302513,7,15,1,9,0.5865213596470763,1,7,16,14,-0.6529343063984447,15,16,9,7,-0.5370418767299725,15,10,11,16,0.2146981320933091,1,7,16,15,0.4748887297610932,7,9,10,15,0.3035177294347466,15,10,1,16,0.04832018242476255
60,60,60,60,14,7,9,12,-1.8014117169696462,6,7,2,10,0.7581833691881944,5,9,14,12,-1.6830876140361437,1,14,7,10,0.2164658182054217,1,8,13,3,0.9754255458156283,1,7,10,15,0.8716868774040811,1,7,10,15,0.8716868774040811,9,14,16,15,-2.544545918083708,10,15,16,9,-1.2306450221645804,7,10,13,14,0.193572836296384,15,10,1,16,0.04636797105422008
61,61,61,61,1,5,8,13,0.8928799252349129,5,8,12,15,0.73097098337333,3,5,9,10,0.3326947285515609,1,7,11,13,0.8740239218687907,10,14,3,9,-1.1393162521361635,1,9,13,14,-0.5265843232325436,16,1,14,15,-0.7963730994489999,10,15,3,7,0.800488470032647,1,7,10,13,0.8018522056864579,1,7,10,14,0.2291860130075166,15,10,1,16,0.06382961566473144
62,62,62,62,15,16,9,14,-2.53821870285288,6,9,11,4,-0.1169607364472342,15,10,7,9,0.3046257442648845,1,9,10,13,0.2241570765036238,7,10,14,3,0.2154756695892614,7,11,13,14,0.5614908358704952,7,14,9,13,-0.465276882085599,1,7,10,13,0.8001156366216986,13,9,7,16,-0.5356033148151871,7,14,15,1,0.5371868196532226,15,10,1,16,0.049429202185387155
63,63,63,63,7,11,14,16,-0.4556923527470737,10,15,6,2,0.7450620291713066,3,9,14,15,-0.7878653328775425,10,14,15,9,-1.112895156720013,7,10,14,8,0.3121554136475826,7,8,10,11,0.8850210709844925,1,10,15,16,0.0480950874718163,1,7,15,14,0.5362096457620626,7,9,10,14,-0.945806249928985,1,10,13,14,0.1539343999102129,15,10,1,16,0.048095087471816345
64,64,64,64,8,14,12,5,-0.121059189481373,3,4,7,14,0.0381532893696581,3,9,16,14,-2.5666028035111914,1,3,4,7,0.7286472958882988,15,3,9,14,-0.7644665314918504,1,10,15,7,0.8770081599889076,13,14,16,1,-0.7301079616963511,1,9,10,14,-1.0744931583001365,7,10,14,15,0.2543048108442909,1,7,9,16,-0.5229780328024609,15,10,1,16,0.06151425129954158
65,65,65,65,3,7,14,8,0.6097911513854326,3,8,10,13,0.9091986485344126,9,1,16,7,-0.5193547145566306,1,9,13,16,-0.6050759034788769,7,10,13,14,0.2068053407073433,6,1,13,7,0.7772963389979606,10,14,15,11,0.3034069464484694,1,7,9,10,0.2930194761745259,9,10,14,15,-1.086407998841909,9,14,15,13,-0.4916032373504091,15,10,1,16,0.06445184246620927
66,66,66,66,3,7,10,13,0.8670452564590108,4,2,10,16,-0.5588180251636121,10,15,16,12,-1.0475453202969458,7,9,14,15,-0.4399664358335695,3,15,10,14,-0.0180269757034274,13,15,16,14,-0.7170633644996798,7,11,15,13,0.9543948870689806,14,15,9,8,-0.4290729132751751,10,15,1,9,0.1955435209654991,1,7,9,10,0.2834650992062111,15,10,1,16,0.04992608718491387
